date,min_temp,max_temp,mean_temp,relative_humidity,daytime_precipitation,nighttime_precipitation,total_precipitation,sunshine_hours
27-09-2018,18.6,25.4,21.7,87,1.2,0.1,1.3,0.8
28-09-2018,18,29,22.3,79.7,0,0,0,3.6
29-09-2018,18.6,29.8,22.6,76.7,0,0,0,4.5
30-09-2018,17.4,28,21.8,81.3,0,0,0,3.2
01-10-2018,19,28.2,22.8,80.7,0,0,0,3.8
02-10-2018,18.4,29.8,23.1,76.7,0,0,0,4.9
03-10-2018,18.3,29.4,23.2,79.7,0,0,0,5
04-10-2018,18.2,29.6,22.6,77.7,1.3,32.1,33.4,5.4
05-10-2018,17.6,27.4,22.3,77,1.8,14.9,16.7,4.2
06-10-2018,16.8,24.6,20.9,82.7,0.7,0.2,0.9,2.2
07-10-2018,18.4,29.6,23.8,75.3,0,8.5,8.5,5.5
08-10-2018,18.6,24.2,20.8,87.7,0,0,0,1.6
09-10-2018,17,27,22.1,82.7,0,3,3,2.1
10-10-2018,18.6,28.4,22.8,81,0,39.2,39.2,4.7
11-10-2018,16.8,27.8,21.8,76.3,0,0.5,0.5,6.7
12-10-2018,18.2,25.2,21.7,84.3,0,0,0,2.4
13-10-2018,18.4,29.6,22.2,73.7,0,0,0,6.7
14-10-2018,16,30,23,73.7,0,10.9,10.9,9.5
15-10-2018,17.6,29.4,23.1,77.3,0,0,0,6.6
16-10-2018,18.4,27.4,21.8,83.3,1.8,0,1.8,1.5
17-10-2018,18,27.3,21.6,85,1.2,0,1.2,3.9
18-10-2018,18.6,29.2,21.8,82.7,4.1,0,4.1,6
19-10-2018,18.4,29,22.7,80,0,1,1,4.8
20-10-2018,18,28,21.4,82.7,10.5,2,12.5,6.2
21-10-2018,17,26.4,21.6,82,0,0,0,1
22-10-2018,18,29.2,23.1,78.3,0,2.3,2.3,3.1
23-10-2018,19.6,28.3,23,78.7,0,1.9,1.9,4.1
24-10-2018,19.2,28.8,23.4,78.7,0,6.2,6.2,5.5
25-10-2018,19.6,29,23.4,79.3,0,4.2,4.2,4.6
26-10-2018,19.4,27.6,22.4,83.7,0,5.2,5.2,3.4
27-10-2018,18.6,28.8,22.8,84.3,14.2,2.9,17.1,5.4
28-10-2018,19.6,28.9,23.3,79.3,0,18.4,18.4,5.5
29-10-2018,19,28.2,22.3,81.3,0,0,0,1.9
30-10-2018,18.6,27.8,21.7,82,7.3,0,7.3,3.3
31-10-2018,18.4,29.4,22.9,78.7,0,0,0,5.5
01-11-2018,18.6,28.6,21.2,84.7,47.9,9.4,57.3,2.5
02-11-2018,18,27.6,21.3,83.7,5.4,0.2,5.6,2.6
03-11-2018,18.4,27.4,21.2,82,4.9,0,4.9,4.1
04-11-2018,18.2,28.2,21.4,81.3,8.7,3.2,11.9,1.7
05-11-2018,18.3,27.2,21.7,81.3,0,0.5,0.5,2.6
06-11-2018,18.6,29.2,22.6,74.7,0,0.4,0.4,7.7
07-11-2018,18,30.2,23.4,75,0,19.7,19.7,9.3
08-11-2018,17.6,29.6,22.5,77,0,11.3,11.3,7.4
09-11-2018,19,26.6,22.3,81.7,0,1.2,1.2,0.7
10-11-2018,19.2,29.2,23,82,0,0,0,4.6
11-11-2018,19.4,29.6,23.6,78.3,0,0.4,0.4,5.6
